"Deal - ID","Person - ID","Deal - Deal created","Deal - Stage","Deal - Status","Deal - Lost reason","Deal - Nazwa kursu","Deal - Termin zakończenia kursu","Deal - Certyfikat - numer","Deal - Źródło finansowania","Person - Znaleziona praca - czy znalazł pracę","Person - Znaleziona praca - czy związana z kursem","Person - Znaleziona praca - czy się przebranżowił"
"186937","218773","2025-01-27 14:23:25","Zakwalifikowani","Open","","Python Developer","2025-05-11","","Własne","","",""
"186781","218939","2025-01-22 13:11:29","Kolejka (darmowa)","Open","","IT Support","2025-05-02","","Własne","","",""
"186111","218029","2025-01-10 15:42:26","Zakwalifikowani","Open","","Cybersecurity","2025-03-23","","Własne","","",""
"186098","214516","2025-01-10 13:41:21","Kolejka (darmowa)","Open","","Cybersecurity","2024-12-08","","","","",""
"186085","217775","2025-01-10 09:17:27","Kolejka (darmowa)","Open","","Data Science","2025-05-11","","Własne","","",""
"186083","217906","2025-01-10 09:11:46","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-05-18","","Własne","","",""
"185851","182743","2025-01-03 22:18:23","Kolejka (darmowa)","Open","","Data Science - SQL","2024-12-15","","Amazon","Brak informacji","Brak informacji","Brak informacji"
"185848","217794","2025-01-03 22:15:52","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-04-13","","Amazon","","",""
"185846","217649","2025-01-03 22:14:41","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-04-13","","Amazon","","",""
"185844","211914","2025-01-03 22:13:39","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-04-13","","Amazon","","",""
"185842","217392","2025-01-03 22:12:31","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-04-13","","Amazon","","",""
"185840","153482","2025-01-03 22:11:35","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-04-13","","Amazon","","",""
"185836","217756","2025-01-03 21:40:41","Kolejka (darmowa)","Open","","Tester Oprogramowania","2025-02-23","","Amazon","","",""
"185833","217777","2025-01-03 21:38:49","Kolejka (darmowa)","Open","","Tester Oprogramowania","2025-02-23","","Amazon","","",""
"185830","217717","2025-01-03 21:37:39","Kolejka (darmowa)","Open","","Tester Oprogramowania","2025-02-23","","Amazon","","",""
"185826","217720","2025-01-03 21:36:02","Kolejka (darmowa)","Open","","Tester Oprogramowania","2025-02-23","","Amazon","","",""
"185825","217687","2025-01-03 21:34:55","Kolejka (darmowa)","Open","","Tester Oprogramowania","2025-02-23","","Amazon","","",""
"185822","217692","2025-01-03 21:33:49","Kolejka (darmowa)","Open","","Tester Oprogramowania","2025-02-23","","Amazon","","",""
"185821","197777","2025-01-03 21:32:47","Kolejka (darmowa)","Open","","Tester Oprogramowania","2025-02-23","","Amazon","","",""
"185818","217338","2025-01-03 21:31:33","Kolejka (darmowa)","Open","","Tester Oprogramowania","2025-02-23","","Amazon","","",""
"185817","217267","2025-01-03 21:30:25","Kolejka (darmowa)","Open","","Tester Oprogramowania","2025-02-23","","Amazon","","",""
"185799","213024","2025-01-03 16:57:27","Kolejka (darmowa)","Open","","UX Designer Flexi","2025-04-13","","","","",""
"185686","217959","2024-12-31 10:44:41","Kolejka (darmowa)","Open","","Analityk Biznesowy","2025-03-09","","","","",""
